service,file,line,method,path,handler,classification
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,291,POST,/models/serving/rollback,model_serving_rollback,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,301,GET,/models/serving/{alias:path},model_serving_resolve,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,115,POST,/context,context,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,125,POST,/agents/propose,agents_propose,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,132,POST,/consensus,consensus,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,142,POST,/operation-plan,operation_plan,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,152,POST,/experiments/shadow,shadow_experiment,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,166,POST,/quality,quality,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,171,POST,/cycle,cycle,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,195,POST,/runtime/resolve,runtime_resolve,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,206,POST,/runtime/authority-envelope,runtime_authority_envelope,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,213,POST,/runtime/reputation/update,runtime_reputation_update,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,224,POST,/runtime/event-envelope,runtime_event_envelope,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,133,POST,/plugins/validate,validate_plugin,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,137,POST,/marketplace/apps,create_marketplace_app,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,143,POST,/marketplace/installations,install_app,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,155,POST,/plugins/sandbox-policy,sandbox_policy,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,159,POST,/webhooks,create_webhook,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,167,POST,/webhooks/delivery-plan,webhook_delivery_plan,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,171,POST,/connectors/descriptor,connector_descriptor,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,185,GET,/sdk/manifest,sdk_manifest,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,189,GET,/graphql/schema,graphql_schema,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,193,GET,/developer-portal/index,developer_portal_index,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,197,POST,/usage,usage_record,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,207,POST,/quota/check,quota_check,legacy_unversioned_business
